participant_id,bias_name,description,age_group,profession,prevalence_score,awareness,corrected_score
P033,Survivorship Bias,Focusing on successes and ignoring all the failures,26-35,Other,0.517,No,0.487
P034,Survivorship Bias,Focusing on successes and ignoring all the failures,65+,Finance,0.784,No,0.754
P035,Survivorship Bias,Focusing on successes and ignoring all the failures,51-65,Finance,0.793,Yes,0.843
P036,Survivorship Bias,Focusing on successes and ignoring all the failures,65+,Healthcare,0.686,No,0.656
P037,Survivorship Bias,Focusing on successes and ignoring all the failures,51-65,Student,0.739,No,0.709
P038,Survivorship Bias,Focusing on successes and ignoring all the failures,36-50,Education,0.619,Yes,0.669
P039,Survivorship Bias,Focusing on successes and ignoring all the failures,36-50,Finance,0.736,Yes,0.786
P040,Survivorship Bias,Focusing on successes and ignoring all the failures,18-25,Tech,0.588,No,0.558
P041,Survivorship Bias,Focusing on successes and ignoring all the failures,65+,Finance,0.61,No,0.58
P042,Survivorship Bias,Focusing on successes and ignoring all the failures,51-65,Finance,0.68,No,0.65
P043,Survivorship Bias,Focusing on successes and ignoring all the failures,18-25,Education,0.719,No,0.689
P044,Survivorship Bias,Focusing on successes and ignoring all the failures,26-35,Healthcare,1.0,Yes,1.0
P045,Survivorship Bias,Focusing on successes and ignoring all the failures,36-50,Tech,0.566,No,0.536
P046,Survivorship Bias,Focusing on successes and ignoring all the failures,65+,Student,0.475,No,0.445
P047,Survivorship Bias,Focusing on successes and ignoring all the failures,51-65,Finance,0.711,No,0.681
P048,Survivorship Bias,Focusing on successes and ignoring all the failures,26-35,Healthcare,0.43,No,0.4
P049,Survivorship Bias,Focusing on successes and ignoring all the failures,18-25,Healthcare,0.68,No,0.65
P050,Survivorship Bias,Focusing on successes and ignoring all the failures,65+,Tech,0.462,No,0.432
P001,Gambler's Fallacy,Believing past random events influence future outcomes,36-50,Education,0.516,No,0.486
P002,Gambler's Fallacy,Believing past random events influence future outcomes,51-65,Finance,0.538,No,0.508
P003,Gambler's Fallacy,Believing past random events influence future outcomes,36-50,Finance,0.482,No,0.452
P004,Gambler's Fallacy,Believing past random events influence future outcomes,36-50,Student,0.751,No,0.721
P005,Gambler's Fallacy,Believing past random events influence future outcomes,51-65,Healthcare,0.54,Yes,0.59
P006,Gambler's Fallacy,Believing past random events influence future outcomes,26-35,Healthcare,0.663,No,0.633
P007,Gambler's Fallacy,Believing past random events influence future outcomes,65+,Tech,0.917,Yes,0.967
P008,Gambler's Fallacy,Believing past random events influence future outcomes,65+,Tech,0.807,No,0.777
P009,Gambler's Fallacy,Believing past random events influence future outcomes,26-35,Healthcare,0.921,Yes,0.971
P010,Gambler's Fallacy,Believing past random events influence future outcomes,36-50,Education,0.393,No,0.363
P011,Gambler's Fallacy,Believing past random events influence future outcomes,36-50,Education,0.657,No,0.627
P012,Gambler's Fallacy,Believing past random events influence future outcomes,65+,Education,0.445,No,0.415
P013,Gambler's Fallacy,Believing past random events influence future outcomes,51-65,Healthcare,0.588,No,0.558
P014,Gambler's Fallacy,Believing past random events influence future outcomes,51-65,Student,0.64,No,0.61
P015,Gambler's Fallacy,Believing past random events influence future outcomes,65+,Tech,0.748,No,0.718
P016,Gambler's Fallacy,Believing past random events influence future outcomes,65+,Education,0.715,Yes,0.765
P017,Gambler's Fallacy,Believing past random events influence future outcomes,26-35,Healthcare,0.469,No,0.439
P018,Gambler's Fallacy,Believing past random events influence future outcomes,65+,Finance,0.643,No,0.613
P019,Gambler's Fallacy,Believing past random events influence future outcomes,18-25,Tech,0.537,Yes,0.587
P020,Gambler's Fallacy,Believing past random events influence future outcomes,36-50,Education,0.739,Yes,0.789
P021,Gambler's Fallacy,Believing past random events influence future outcomes,36-50,Other,0.436,No,0.406
P022,Gambler's Fallacy,Believing past random events influence future outcomes,51-65,Other,0.922,Yes,0.972
P023,Gambler's Fallacy,Believing past random events influence future outcomes,36-50,Education,0.713,No,0.683
P024,Gambler's Fallacy,Believing past random events influence future outcomes,18-25,Other,0.936,No,0.906
P025,Gambler's Fallacy,Believing past random events influence future outcomes,18-25,Finance,0.438,No,0.408
P026,Gambler's Fallacy,Believing past random events influence future outcomes,51-65,Student,0.54,No,0.51
P027,Gambler's Fallacy,Believing past random events influence future outcomes,36-50,Other,0.625,Yes,0.675
P028,Gambler's Fallacy,Believing past random events influence future outcomes,18-25,Education,0.618,Yes,0.668
P029,Gambler's Fallacy,Believing past random events influence future outcomes,18-25,Tech,0.746,No,0.716
P030,Gambler's Fallacy,Believing past random events influence future outcomes,65+,Education,0.859,No,0.829
P031,Gambler's Fallacy,Believing past random events influence future outcomes,65+,Tech,0.565,Yes,0.615
P032,Gambler's Fallacy,Believing past random events influence future outcomes,65+,Student,0.67,Yes,0.72
P033,Gambler's Fallacy,Believing past random events influence future outcomes,18-25,Tech,0.795,No,0.765
P034,Gambler's Fallacy,Believing past random events influence future outcomes,51-65,Student,0.574,No,0.544
P035,Gambler's Fallacy,Believing past random events influence future outcomes,65+,Finance,0.698,Yes,0.748
P036,Gambler's Fallacy,Believing past random events influence future outcomes,18-25,Finance,0.717,No,0.687
P037,Gambler's Fallacy,Believing past random events influence future outcomes,65+,Student,0.535,No,0.505
P038,Gambler's Fallacy,Believing past random events influence future outcomes,18-25,Tech,0.763,No,0.733
P039,Gambler's Fallacy,Believing past random events influence future outcomes,65+,Student,0.436,Yes,0.486
P040,Gambler's Fallacy,Believing past random events influence future outcomes,18-25,Tech,0.707,No,0.677
P041,Gambler's Fallacy,Believing past random events influence future outcomes,26-35,Finance,0.931,No,0.901
P042,Gambler's Fallacy,Believing past random events influence future outcomes,51-65,Education,0.642,Yes,0.692
P043,Gambler's Fallacy,Believing past random events influence future outcomes,51-65,Student,0.637,No,0.607
P044,Gambler's Fallacy,Believing past random events influence future outcomes,26-35,Healthcare,0.779,Yes,0.829
P045,Gambler's Fallacy,Believing past random events influence future outcomes,51-65,Student,0.66,Yes,0.71
P046,Gambler's Fallacy,Believing past random events influence future outcomes,36-50,Healthcare,0.522,Yes,0.572
P047,Gambler's Fallacy,Believing past random events influence future outcomes,36-50,Healthcare,0.561,No,0.531
P048,Gambler's Fallacy,Believing past random events influence future outcomes,51-65,Finance,0.602,No,0.572
P049,Gambler's Fallacy,Believing past random events influence future outcomes,18-25,Student,0.337,No,0.307
P050,Gambler's Fallacy,Believing past random events influence future outcomes,51-65,Tech,0.786,No,0.756
P001,Fundamental Attribution Error,Attributing others behavior to character vs situation,36-50,Tech,0.568,Yes,0.618
P002,Fundamental Attribution Error,Attributing others behavior to character vs situation,26-35,Tech,0.728,No,0.698
P003,Fundamental Attribution Error,Attributing others behavior to character vs situation,18-25,Tech,0.645,Yes,0.695
P004,Fundamental Attribution Error,Attributing others behavior to character vs situation,51-65,Healthcare,0.963,No,0.933
P005,Fundamental Attribution Error,Attributing others behavior to character vs situation,26-35,Tech,0.609,No,0.579
P006,Fundamental Attribution Error,Attributing others behavior to character vs situation,65+,Tech,0.757,Yes,0.807
P007,Fundamental Attribution Error,Attributing others behavior to character vs situation,51-65,Education,0.764,No,0.734
P008,Fundamental Attribution Error,Attributing others behavior to character vs situation,36-50,Education,0.965,No,0.935
P009,Fundamental Attribution Error,Attributing others behavior to character vs situation,65+,Finance,0.531,No,0.501
P010,Fundamental Attribution Error,Attributing others behavior to character vs situation,26-35,Student,0.647,No,0.617
P011,Fundamental Attribution Error,Attributing others behavior to character vs situation,18-25,Education,0.826,No,0.796
P012,Fundamental Attribution Error,Attributing others behavior to character vs situation,18-25,Other,0.484,No,0.454
P013,Fundamental Attribution Error,Attributing others behavior to character vs situation,26-35,Finance,0.915,No,0.885
P014,Fundamental Attribution Error,Attributing others behavior to character vs situation,26-35,Finance,0.702,Yes,0.752
P015,Fundamental Attribution Error,Attributing others behavior to character vs situation,18-25,Student,0.549,No,0.519
P016,Fundamental Attribution Error,Attributing others behavior to character vs situation,36-50,Tech,0.626,Yes,0.676
P017,Fundamental Attribution Error,Attributing others behavior to character vs situation,36-50,Student,0.691,No,0.661
P018,Fundamental Attribution Error,Attributing others behavior to character vs situation,36-50,Finance,0.757,No,0.727
P019,Fundamental Attribution Error,Attributing others behavior to character vs situation,51-65,Other,0.901,Yes,0.951
P020,Fundamental Attribution Error,Attributing others behavior to character vs situation,36-50,Tech,0.48,Yes,0.53
P021,Fundamental Attribution Error,Attributing others behavior to character vs situation,36-50,Healthcare,0.911,No,0.881
P022,Fundamental Attribution Error,Attributing others behavior to character vs situation,51-65,Finance,0.717,No,0.687
P023,Fundamental Attribution Error,Attributing others behavior to character vs situation,18-25,Tech,0.649,No,0.619
P024,Fundamental Attribution Error,Attributing others behavior to character vs situation,26-35,Other,0.795,No,0.765
P025,Fundamental Attribution Error,Attributing others behavior to character vs situation,51-65,Student,0.556,No,0.526
P026,Fundamental Attribution Error,Attributing others behavior to character vs situation,26-35,Healthcare,0.58,No,0.55
P027,Fundamental Attribution Error,Attributing others behavior to character vs situation,65+,Finance,0.434,No,0.404
P028,Fundamental Attribution Error,Attributing others behavior to character vs situation,26-35,Education,0.42,No,0.39
P029,Fundamental Attribution Error,Attributing others behavior to character vs situation,65+,Finance,0.879,No,0.849
P030,Fundamental Attribution Error,Attributing others behavior to character vs situation,18-25,Student,0.579,No,0.549
P031,Fundamental Attribution Error,Attributing others behavior to character vs situation,36-50,Student,0.821,No,0.791
P032,Fundamental Attribution Error,Attributing others behavior to character vs situation,26-35,Other,0.539,Yes,0.589
P033,Fundamental Attribution Error,Attributing others behavior to character vs situation,36-50,Tech,0.703,No,0.673
P034,Fundamental Attribution Error,Attributing others behavior to character vs situation,51-65,Other,0.544,No,0.514
P035,Fundamental Attribution Error,Attributing others behavior to character vs situation,65+,Tech,0.667,No,0.637
P036,Fundamental Attribution Error,Attributing others behavior to character vs situation,51-65,Healthcare,0.744,No,0.714
P037,Fundamental Attribution Error,Attributing others behavior to character vs situation,65+,Other,0.572,No,0.542
P038,Fundamental Attribution Error,Attributing others behavior to character vs situation,65+,Student,0.415,No,0.385
P039,Fundamental Attribution Error,Attributing others behavior to character vs situation,26-35,Healthcare,0.545,No,0.515
P040,Fundamental Attribution Error,Attributing others behavior to character vs situation,51-65,Tech,0.423,Yes,0.473
P041,Fundamental Attribution Error,Attributing others behavior to character vs situation,65+,Finance,0.721,No,0.691
P042,Fundamental Attribution Error,Attributing others behavior to character vs situation,26-35,Education,0.76,Yes,0.81
P043,Fundamental Attribution Error,Attributing others behavior to character vs situation,18-25,Tech,0.583,Yes,0.633
P044,Fundamental Attribution Error,Attributing others behavior to character vs situation,36-50,Tech,0.8,Yes,0.85
P045,Fundamental Attribution Error,Attributing others behavior to character vs situation,51-65,Other,0.447,Yes,0.497
P046,Fundamental Attribution Error,Attributing others behavior to character vs situation,51-65,Tech,0.705,No,0.675
P047,Fundamental Attribution Error,Attributing others behavior to character vs situation,36-50,Other,0.585,Yes,0.635
P048,Fundamental Attribution Error,Attributing others behavior to character vs situation,65+,Tech,0.977,Yes,1.0
P049,Fundamental Attribution Error,Attributing others behavior to character vs situation,18-25,Education,0.362,No,0.332
P050,Fundamental Attribution Error,Attributing others behavior to character vs situation,26-35,Education,0.843,No,0.813
P001,Groupthink,Conformity pressure leading to poor group decisions,51-65,Tech,0.813,No,0.783
P002,Groupthink,Conformity pressure leading to poor group decisions,26-35,Student,0.802,Yes,0.852
P003,Groupthink,Conformity pressure leading to poor group decisions,36-50,Finance,0.796,No,0.766
P004,Groupthink,Conformity pressure leading to poor group decisions,18-25,Tech,0.941,Yes,0.991
P005,Groupthink,Conformity pressure leading to poor group decisions,51-65,Education,0.661,Yes,0.711
P006,Groupthink,Conformity pressure leading to poor group decisions,18-25,Healthcare,0.789,No,0.759
P007,Groupthink,Conformity pressure leading to poor group decisions,51-65,Student,0.718,No,0.688
P008,Groupthink,Conformity pressure leading to poor group decisions,36-50,Student,0.585,No,0.555
P009,Groupthink,Conformity pressure leading to poor group decisions,51-65,Healthcare,0.789,Yes,0.839
P010,Groupthink,Conformity pressure leading to poor group decisions,18-25,Other,0.894,Yes,0.944
P011,Groupthink,Conformity pressure leading to poor group decisions,65+,Other,0.654,Yes,0.704
P012,Groupthink,Conformity pressure leading to poor group decisions,26-35,Other,0.627,Yes,0.677
P013,Groupthink,Conformity pressure leading to poor group decisions,51-65,Tech,0.692,No,0.662
P014,Groupthink,Conformity pressure leading to poor group decisions,26-35,Student,0.812,No,0.782
P015,Groupthink,Conformity pressure leading to poor group decisions,36-50,Other,0.611,No,0.581
P016,Groupthink,Conformity pressure leading to poor group decisions,36-50,Finance,0.622,Yes,0.672
P017,Groupthink,Conformity pressure leading to poor group decisions,26-35,Education,0.97,Yes,1.0
P018,Groupthink,Conformity pressure leading to poor group decisions,18-25,Student,0.582,Yes,0.632
P019,Groupthink,Conformity pressure leading to poor group decisions,51-65,Student,0.885,No,0.855
P020,Groupthink,Conformity pressure leading to poor group decisions,26-35,Finance,0.661,No,0.631
P021,Groupthink,Conformity pressure leading to poor group decisions,18-25,Tech,0.686,No,0.656
P022,Groupthink,Conformity pressure leading to poor group decisions,51-65,Student,0.637,No,0.607
P023,Groupthink,Conformity pressure leading to poor group decisions,51-65,Healthcare,0.807,Yes,0.857
P024,Groupthink,Conformity pressure leading to poor group decisions,65+,Education,0.944,No,0.914
P025,Groupthink,Conformity pressure leading to poor group decisions,36-50,Student,0.625,No,0.595
P026,Groupthink,Conformity pressure leading to poor group decisions,36-50,Student,0.567,No,0.537
P027,Groupthink,Conformity pressure leading to poor group decisions,26-35,Other,0.784,No,0.754
P028,Groupthink,Conformity pressure leading to poor group decisions,65+,Other,0.828,Yes,0.878
P029,Groupthink,Conformity pressure leading to poor group decisions,26-35,Healthcare,0.834,No,0.804
P030,Groupthink,Conformity pressure leading to poor group decisions,65+,Other,0.788,No,0.758
P031,Groupthink,Conformity pressure leading to poor group decisions,51-65,Education,0.52,Yes,0.57
P032,Groupthink,Conformity pressure leading to poor group decisions,36-50,Education,0.533,No,0.503
P033,Groupthink,Conformity pressure leading to poor group decisions,65+,Education,0.593,No,0.563
P034,Groupthink,Conformity pressure leading to poor group decisions,26-35,Finance,0.788,No,0.758
P035,Groupthink,Conformity pressure leading to poor group decisions,65+,Other,0.816,No,0.786
P036,Groupthink,Conformity pressure leading to poor group decisions,51-65,Other,0.737,Yes,0.787
P037,Groupthink,Conformity pressure leading to poor group decisions,65+,Finance,0.382,No,0.352
P038,Groupthink,Conformity pressure leading to poor group decisions,26-35,Education,0.599,No,0.569
P039,Groupthink,Conformity pressure leading to poor group decisions,36-50,Student,0.776,Yes,0.826
P040,Groupthink,Conformity pressure leading to poor group decisions,18-25,Tech,1.0,No,0.97
P041,Groupthink,Conformity pressure leading to poor group decisions,36-50,Other,0.873,Yes,0.923
P042,Groupthink,Conformity pressure leading to poor group decisions,51-65,Tech,0.824,No,0.794
P043,Groupthink,Conformity pressure leading to poor group decisions,26-35,Education,0.654,No,0.624
P044,Groupthink,Conformity pressure leading to poor group decisions,65+,Education,0.688,Yes,0.738
P045,Groupthink,Conformity pressure leading to poor group decisions,51-65,Other,0.865,No,0.835
P046,Groupthink,Conformity pressure leading to poor group decisions,65+,Education,0.792,No,0.762
P047,Groupthink,Conformity pressure leading to poor group decisions,18-25,Other,0.959,Yes,1.0
P048,Groupthink,Conformity pressure leading to poor group decisions,51-65,Education,0.706,Yes,0.756
P049,Groupthink,Conformity pressure leading to poor group decisions,26-35,Education,0.654,No,0.624
P050,Groupthink,Conformity pressure leading to poor group decisions,65+,Student,0.73,No,0.7
P001,Negativity Bias,Giving more weight to negative experiences than positive ones,18-25,Finance,0.895,No,0.865
P002,Negativity Bias,Giving more weight to negative experiences than positive ones,51-65,Finance,0.731,Yes,0.781
P003,Negativity Bias,Giving more weight to negative experiences than positive ones,26-35,Healthcare,0.724,No,0.694
P004,Negativity Bias,Giving more weight to negative experiences than positive ones,26-35,Education,0.635,Yes,0.685
P005,Negativity Bias,Giving more weight to negative experiences than positive ones,36-50,Tech,0.477,No,0.447
P006,Negativity Bias,Giving more weight to negative experiences than positive ones,18-25,Finance,0.884,Yes,0.934
P007,Negativity Bias,Giving more weight to negative experiences than positive ones,36-50,Education,0.641,No,0.611
P008,Negativity Bias,Giving more weight to negative experiences than positive ones,18-25,Education,0.306,No,0.276
P009,Negativity Bias,Giving more weight to negative experiences than positive ones,36-50,Education,0.575,Yes,0.625
P010,Negativity Bias,Giving more weight to negative experiences than positive ones,26-35,Finance,0.85,No,0.82
P011,Negativity Bias,Giving more weight to negative experiences than positive ones,51-65,Student,0.774,Yes,0.824
P012,Negativity Bias,Giving more weight to negative experiences than positive ones,18-25,Healthcare,0.502,Yes,0.552
P013,Negativity Bias,Giving more weight to negative experiences than positive ones,36-50,Tech,0.874,No,0.844
P014,Negativity Bias,Giving more weight to negative experiences than positive ones,51-65,Tech,0.951,No,0.921
P015,Negativity Bias,Giving more weight to negative experiences than positive ones,36-50,Education,0.924,Yes,0.974
P016,Negativity Bias,Giving more weight to negative experiences than positive ones,51-65,Student,0.666,Yes,0.716
P017,Negativity Bias,Giving more weight to negative experiences than positive ones,26-35,Healthcare,0.365,No,0.335
P018,Negativity Bias,Giving more weight to negative experiences than positive ones,18-25,Student,0.667,Yes,0.717
P019,Negativity Bias,Giving more weight to negative experiences than positive ones,65+,Healthcare,0.887,No,0.857
P020,Negativity Bias,Giving more weight to negative experiences than positive ones,51-65,Healthcare,0.342,Yes,0.392
P021,Negativity Bias,Giving more weight to negative experiences than positive ones,65+,Education,0.789,Yes,0.839
P022,Negativity Bias,Giving more weight to negative experiences than positive ones,26-35,Education,0.732,No,0.702
P023,Negativity Bias,Giving more weight to negative experiences than positive ones,26-35,Tech,0.772,Yes,0.822
P024,Negativity Bias,Giving more weight to negative experiences than positive ones,51-65,Healthcare,0.451,No,0.421
P025,Negativity Bias,Giving more weight to negative experiences than positive ones,36-50,Student,0.582,Yes,0.632
P026,Negativity Bias,Giving more weight to negative experiences than positive ones,26-35,Healthcare,0.818,No,0.788
P027,Negativity Bias,Giving more weight to negative experiences than positive ones,65+,Student,0.506,Yes,0.556
P028,Negativity Bias,Giving more weight to negative experiences than positive ones,51-65,Finance,0.493,Yes,0.543
P029,Negativity Bias,Giving more weight to negative experiences than positive ones,36-50,Finance,0.503,No,0.473
P030,Negativity Bias,Giving more weight to negative experiences than positive ones,18-25,Education,0.593,No,0.563
P031,Negativity Bias,Giving more weight to negative experiences than positive ones,18-25,Tech,0.702,No,0.672
P032,Negativity Bias,Giving more weight to negative experiences than positive ones,36-50,Finance,0.46,No,0.43
P033,Negativity Bias,Giving more weight to negative experiences than positive ones,26-35,Tech,0.617,No,0.587
P034,Negativity Bias,Giving more weight to negative experiences than positive ones,36-50,Education,0.554,No,0.524
P035,Negativity Bias,Giving more weight to negative experiences than positive ones,26-35,Finance,0.836,Yes,0.886
P036,Negativity Bias,Giving more weight to negative experiences than positive ones,36-50,Other,0.5,Yes,0.55
P037,Negativity Bias,Giving more weight to negative experiences than positive ones,51-65,Education,0.595,Yes,0.645
P038,Negativity Bias,Giving more weight to negative experiences than positive ones,36-50,Tech,0.753,Yes,0.803
P039,Negativity Bias,Giving more weight to negative experiences than positive ones,18-25,Other,0.514,No,0.484
P040,Negativity Bias,Giving more weight to negative experiences than positive ones,36-50,Tech,0.717,No,0.687
P041,Negativity Bias,Giving more weight to negative experiences than positive ones,26-35,Finance,0.648,No,0.618
P042,Negativity Bias,Giving more weight to negative experiences than positive ones,36-50,Student,0.558,No,0.528
P043,Negativity Bias,Giving more weight to negative experiences than positive ones,65+,Student,0.56,No,0.53
P044,Negativity Bias,Giving more weight to negative experiences than positive ones,51-65,Finance,0.605,No,0.575
P045,Negativity Bias,Giving more weight to negative experiences than positive ones,51-65,Other,0.708,No,0.678
P046,Negativity Bias,Giving more weight to negative experiences than positive ones,26-35,Finance,0.629,No,0.599
P047,Negativity Bias,Giving more weight to negative experiences than positive ones,65+,Student,0.681,Yes,0.731
P048,Negativity Bias,Giving more weight to negative experiences than positive ones,18-25,Tech,0.46,Yes,0.51
P049,Negativity Bias,Giving more weight to negative experiences than positive ones,51-65,Tech,0.766,No,0.736
P050,Negativity Bias,Giving more weight to negative experiences than positive ones,18-25,Tech,0.594,Yes,0.644
P001,Optimism Bias,Underestimating likelihood of negative events happening to you,18-25,Tech,0.691,No,0.661
P002,Optimism Bias,Underestimating likelihood of negative events happening to you,65+,Finance,0.704,No,0.674
P003,Optimism Bias,Underestimating likelihood of negative events happening to you,18-25,Tech,0.712,Yes,0.762
P004,Optimism Bias,Underestimating likelihood of negative events happening to you,36-50,Student,0.953,Yes,1.0
P005,Optimism Bias,Underestimating likelihood of negative events happening to you,36-50,Other,0.911,No,0.881
P006,Optimism Bias,Underestimating likelihood of negative events happening to you,36-50,Tech,0.769,Yes,0.819
P007,Optimism Bias,Underestimating likelihood of negative events happening to you,51-65,Student,0.916,No,0.886
P008,Optimism Bias,Underestimating likelihood of negative events happening to you,65+,Healthcare,0.848,Yes,0.898
P009,Optimism Bias,Underestimating likelihood of negative events happening to you,51-65,Student,0.869,No,0.839
P010,Optimism Bias,Underestimating likelihood of negative events happening to you,36-50,Student,0.761,No,0.731
P011,Optimism Bias,Underestimating likelihood of negative events happening to you,36-50,Tech,0.813,Yes,0.863
P012,Optimism Bias,Underestimating likelihood of negative events happening to you,18-25,Finance,0.788,No,0.758
P013,Optimism Bias,Underestimating likelihood of negative events happening to you,51-65,Finance,0.546,No,0.516
P014,Optimism Bias,Underestimating likelihood of negative events happening to you,65+,Education,0.692,Yes,0.742
P015,Optimism Bias,Underestimating likelihood of negative events happening to you,65+,Finance,0.806,Yes,0.856
P016,Optimism Bias,Underestimating likelihood of negative events happening to you,36-50,Other,0.582,No,0.552
P017,Optimism Bias,Underestimating likelihood of negative events happening to you,51-65,Education,0.708,No,0.678
P018,Optimism Bias,Underestimating likelihood of negative events happening to you,26-35,Finance,0.92,Yes,0.97
P019,Optimism Bias,Underestimating likelihood of negative events happening to you,51-65,Student,0.595,No,0.565
P020,Optimism Bias,Underestimating likelihood of negative events happening to you,26-35,Healthcare,0.526,No,0.496
P021,Optimism Bias,Underestimating likelihood of negative events happening to you,18-25,Student,0.686,No,0.656
P022,Optimism Bias,Underestimating likelihood of negative events happening to you,26-35,Education,0.686,No,0.656
P023,Optimism Bias,Underestimating likelihood of negative events happening to you,36-50,Education,0.683,Yes,0.733
P024,Optimism Bias,Underestimating likelihood of negative events happening to you,26-35,Education,0.804,Yes,0.854
P025,Optimism Bias,Underestimating likelihood of negative events happening to you,26-35,Healthcare,0.915,No,0.885
P026,Optimism Bias,Underestimating likelihood of negative events happening to you,36-50,Healthcare,0.72,No,0.69
P027,Optimism Bias,Underestimating likelihood of negative events happening to you,36-50,Student,0.93,Yes,0.98
P028,Optimism Bias,Underestimating likelihood of negative events happening to you,51-65,Other,0.893,No,0.863
P029,Optimism Bias,Underestimating likelihood of negative events happening to you,18-25,Tech,0.598,No,0.568
P030,Optimism Bias,Underestimating likelihood of negative events happening to you,26-35,Student,0.68,Yes,0.73
P031,Optimism Bias,Underestimating likelihood of negative events happening to you,36-50,Other,0.64,Yes,0.69
P032,Optimism Bias,Underestimating likelihood of negative events happening to you,51-65,Other,0.784,Yes,0.834
P033,Optimism Bias,Underestimating likelihood of negative events happening to you,51-65,Tech,1.0,No,0.97
P034,Optimism Bias,Underestimating likelihood of negative events happening to you,36-50,Tech,0.709,No,0.679
P035,Optimism Bias,Underestimating likelihood of negative events happening to you,36-50,Student,0.655,No,0.625
P036,Optimism Bias,Underestimating likelihood of negative events happening to you,26-35,Finance,0.891,No,0.861
P037,Optimism Bias,Underestimating likelihood of negative events happening to you,65+,Healthcare,0.752,No,0.722
P038,Optimism Bias,Underestimating likelihood of negative events happening to you,36-50,Student,0.788,No,0.758
P039,Optimism Bias,Underestimating likelihood of negative events happening to you,51-65,Tech,0.664,No,0.634
P040,Optimism Bias,Underestimating likelihood of negative events happening to you,18-25,Student,0.773,Yes,0.823
P041,Optimism Bias,Underestimating likelihood of negative events happening to you,18-25,Tech,0.813,No,0.783
P042,Optimism Bias,Underestimating likelihood of negative events happening to you,18-25,Tech,0.695,No,0.665
P043,Optimism Bias,Underestimating likelihood of negative events happening to you,51-65,Student,0.555,No,0.525
P044,Optimism Bias,Underestimating likelihood of negative events happening to you,51-65,Finance,0.85,No,0.82
P045,Optimism Bias,Underestimating likelihood of negative events happening to you,18-25,Education,0.766,No,0.736
P046,Optimism Bias,Underestimating likelihood of negative events happening to you,18-25,Tech,1.0,No,0.97
P047,Optimism Bias,Underestimating likelihood of negative events happening to you,26-35,Education,0.676,Yes,0.726
P048,Optimism Bias,Underestimating likelihood of negative events happening to you,36-50,Student,0.77,No,0.74
P049,Optimism Bias,Underestimating likelihood of negative events happening to you,18-25,Healthcare,0.92,Yes,0.97
P050,Optimism Bias,Underestimating likelihood of negative events happening to you,26-35,Other,0.706,No,0.676
P001,Authority Bias,Overvaluing opinions of authority figures,65+,Education,0.794,No,0.764
P002,Authority Bias,Overvaluing opinions of authority figures,18-25,Finance,0.602,No,0.572
P003,Authority Bias,Overvaluing opinions of authority figures,26-35,Other,0.82,Yes,0.87
P004,Authority Bias,Overvaluing opinions of authority figures,36-50,Student,0.713,No,0.683
P005,Authority Bias,Overvaluing opinions of authority figures,26-35,Education,0.863,No,0.833
P006,Authority Bias,Overvaluing opinions of authority figures,36-50,Student,0.688,Yes,0.738
P007,Authority Bias,Overvaluing opinions of authority figures,18-25,Other,0.493,Yes,0.543
P008,Authority Bias,Overvaluing opinions of authority figures,51-65,Other,0.645,No,0.615
P009,Authority Bias,Overvaluing opinions of authority figures,51-65,Healthcare,0.545,No,0.515
P010,Authority Bias,Overvaluing opinions of authority figures,51-65,Healthcare,0.752,No,0.722
P011,Authority Bias,Overvaluing opinions of authority figures,26-35,Other,0.815,No,0.785
P012,Authority Bias,Overvaluing opinions of authority figures,36-50,Other,0.617,No,0.587
P013,Authority Bias,Overvaluing opinions of authority figures,51-65,Tech,0.711,Yes,0.761
P014,Authority Bias,Overvaluing opinions of authority figures,65+,Student,0.413,No,0.383
P015,Authority Bias,Overvaluing opinions of authority figures,18-25,Healthcare,0.564,No,0.534
P016,Authority Bias,Overvaluing opinions of authority figures,65+,Other,0.485,Yes,0.535
P017,Authority Bias,Overvaluing opinions of authority figures,65+,Student,0.396,No,0.366
P018,Authority Bias,Overvaluing opinions of authority figures,36-50,Education,0.646,No,0.616
P019,Authority Bias,Overvaluing opinions of authority figures,51-65,Tech,0.731,No,0.701
P020,Authority Bias,Overvaluing opinions of authority figures,36-50,Other,0.373,Yes,0.423
P021,Authority Bias,Overvaluing opinions of authority figures,65+,Finance,0.439,Yes,0.489
P022,Authority Bias,Overvaluing opinions of authority figures,65+,Other,0.463,Yes,0.513
P023,Authority Bias,Overvaluing opinions of authority figures,65+,Finance,0.588,No,0.558
P024,Authority Bias,Overvaluing opinions of authority figures,36-50,Education,0.897,No,0.867
P025,Authority Bias,Overvaluing opinions of authority figures,65+,Tech,0.665,No,0.635
P026,Authority Bias,Overvaluing opinions of authority figures,36-50,Education,0.61,Yes,0.66
P027,Authority Bias,Overvaluing opinions of authority figures,26-35,Finance,0.617,No,0.587
P028,Authority Bias,Overvaluing opinions of authority figures,51-65,Tech,0.702,No,0.672
P029,Authority Bias,Overvaluing opinions of authority figures,18-25,Finance,0.402,No,0.372
P030,Authority Bias,Overvaluing opinions of authority figures,18-25,Healthcare,0.802,Yes,0.852
P031,Authority Bias,Overvaluing opinions of authority figures,36-50,Healthcare,0.722,No,0.692
P032,Authority Bias,Overvaluing opinions of authority figures,65+,Finance,0.695,No,0.665
P033,Authority Bias,Overvaluing opinions of authority figures,18-25,Finance,0.205,No,0.175
